Angle (deg),Distance (mm),X (mm),Y (mm)
333,2809.0,2502.837326445125,-1275.2593137683875
334,2845.0,2557.0690617211303,-1247.165912614924
335,2884.0,2613.791657813698,-1218.8310668601787
336,2930.0,2676.688190892821,-1191.7383642120944
337,2886.0,2656.577007063742,-1127.6500368200468
340,128.0,120.28065546059628,-43.77857834568558
10,144.0,141.81231643375796,25.005337584037967
11,452.0,443.6954869183441,86.24566591019826
12,417.0,407.88754950599696,86.69917507100564
57,199.0,108.38316796799042,166.89544302113936
93,1990.0,-104.1485529234578,1987.272774161602
94,1956.0,-136.44366264350916,1951.235282308216
95,1932.0,-168.3848949884757,1924.6481567132523
136,196.0,-140.99060086637564,136.15304060996343
241,323.0,-156.5935073395668,-282.50216540602486
242,291.0,-136.6162247706942,-256.93774952194775
277,701.0,85.43040972700852,-695.7748523005667
313,2312.0,1576.7802084644952,-1690.8897581435233
314,2208.0,1533.8056819734645,-1588.302279147743
318,241.0,179.09790294005202,-161.2604761324848
320,128.0,98.05368871922916,-82.27681403987707
333,2446.0,2179.4019581647476,-1110.460762362932
334,2455.0,2206.5393836644553,-1076.201165367184
335,2476.0,2244.0180807027446,-1046.4028160699731
336,2502.0,2285.6907350217875,-1017.655080975652
37,374.0,298.68968075768754,225.07881865886606
38,498.0,392.42935529614755,306.59941471217775
42,55.0,40.872965401256685,36.802183349737206
69,444.0,159.11536959811338,414.50970936475755
70,486.0,166.22178965627504,456.69061370195146
73,2408.0,704.0310649723501,2302.7818523589895
74,2443.0,673.3820602609289,2348.362323177313
76,128.0,30.96600263675749,124.19785296332755
105,1568.0,-405.8282627207527,1514.571695621259
106,1553.0,-428.06481358379955,1492.8394137922091
107,1542.0,-450.83716868245995,1474.6219336950007
144,208.0,-168.27553482998906,122.25933247683443
177,204.0,-203.72042508993306,10.676535073560537
178,202.0,-201.87694705785734,7.049698333905141
179,1478.0,-1477.7748934411463,25.79465671430492
217,305.0,-243.58383056442437,-183.55358206137464
218,300.0,-236.40322608201666,-184.69844259769735
249,281.0,-100.7013938222295,-262.33609984571365
250,283.0,-96.79170056116443,-265.93301168241203
251,285.0,-92.78692402028965,-269.4727940458053
252,287.0,-88.68787738560995,-272.95322017670907
321,2251.0,1749.3555592396408,-1416.600200253185
4,1545.0,1541.2364576514283,107.7737519346736
49,436.0,286.0417366398612,329.0533769771286
51,144.0,90.6221363111766,111.9090184498038
52,249.0,153.2997073560889,196.21467764807377
158,113.0,-104.77177556604697,42.33054505599808
193,248.0,-241.64377606673835,-55.78786147727851
194,209.0,-202.79180679168326,-50.56167618033051
229,252.0,-165.32687530560796,-190.18681421613846
230,113.0,-72.63499989457895,-86.5630220724445
265,323.0,-28.151304907493614,-321.7708874836338
266,332.0,-23.159149283049693,-331.19126468626166
267,227.0,-11.880262067148358,-226.68890438928827
297,582.0,264.22247084841615,-518.5657970776302
298,1592.0,747.3987279551376,-1405.652567831412
299,1726.0,836.7814045451768,-1509.5936145225976
300,2515.0,1257.5000000000002,-2178.0538905178632
333,2814.0,2507.292359066067,-1277.5292662670852
334,2881.0,2589.4256473879004,-1262.9472738993309
335,2894.0,2622.854735684064,-1223.0572494775859
336,2934.0,2680.3423727233912,-1193.3653107843977
337,2893.0,2663.0205410379085,-1130.3851547194718
93,1991.0,-104.20088887970074,1988.2714036963564
96,128.0,-13.379643298259627,127.298802607139
168,240.0,-234.75542417611337,49.89880579626224
169,223.0,-218.90286190882907,42.55040596896953
170,154.0,-151.66039396388004,26.74181936070726
201,365.0,-340.75685567147866,-130.80430158403465
203,425.0,-391.21456271728715,-166.06072960794125
204,151.0,-137.94536410403276,-61.41723310444577
241,67.0,-32.48224455650457,-58.59952037833952
277,703.0,85.67414841381883,-697.7599446038494
280,128.0,22.226966741367036,-126.05539238556264
309,2515.0,1582.7407834903413,-1954.5220930642815
310,2508.0,1612.1113250938404,-1921.2394633423971
311,2528.0,1658.5172252880018,-1907.9058188031681
312,2526.0,1690.2239116624748,-1877.1838291558986
313,2310.0,1575.4162117443702,-1689.427050740285
314,2210.0,1535.1949987143826,-1589.7409587484203
345,2444.0,2360.722719450483,-632.5537462305606
346,2455.0,2382.0760080075715,-593.9182536971846
347,2475.0,2411.565910343457,-556.7538595010667
348,2494.0,2439.500116230111,-518.5317568994931
351,392.0,387.173829513294,-61.322310295770585
37,373.0,297.89104524764025,224.477003635714
38,377.0,297.0800541097342,232.10437619777312
69,445.0,159.47373754765866,415.44328979125476
72,67.0,20.70413862312148,63.72078659177529
105,1565.0,-405.05180558544515,1511.6739181423918
106,1555.0,-428.61608829543354,1494.7619371840858
107,1541.0,-450.5447969777372,1473.6656289390378
112,63.0,-23.60021538520246,58.41258283770761
177,204.0,-203.72042508993306,10.676535073560537
180,441.0,-441.0,5.4006923842398276e-14
213,449.0,-376.5630850074954,-244.54292672174716
214,480.0,-397.93803482642005,-268.4125936659584
215,488.0,-399.74619761302813,-279.90530093931034
216,310.0,-250.7952682562337,-182.21342821066665
217,303.0,-241.9865595443298,-182.34995201507056
218,299.0,-235.61521532840996,-184.0827811223717
285,785.0,203.1729504054791,-758.2517736369185
286,1036.0,285.5603006264114,-995.8671169920982
287,1032.0,301.7275992738643,-986.9065081538525
288,1132.0,349.80723763244026,-1076.595976446114
321,2246.0,1745.469829432356,-1413.4535982979357
322,2619.0,2063.800163696004,-1612.4174038779006
323,2635.0,2104.4045689746167,-1585.782586005647
324,1380.0,1116.4434522374274,-811.1436481636132
325,2686.0,2200.242390960231,-1540.6263080389108
326,2715.0,2250.8370094869374,-1518.208732923079
81,760.0,118.89019343057551,750.6431388523047
122,128.0,-67.82966582185021,108.55015630802254
123,128.0,-69.71379648192347,107.34983269701428
189,196.0,-193.586914756647,-30.661155147885225
190,138.0,-135.9034699156847,-23.963448518036405
191,216.0,-212.03147162469543,-41.21474300133366
192,230.0,-224.9739481687753,-47.819688888084585
193,246.0,-239.69503593716786,-55.33795936859078
194,266.0,-258.09866318941505,-64.35122422951156
196,128.0,-123.04149708010482,-35.28158154457587
225,259.0,-183.14065632731584,-183.14065632731578
226,255.0,-177.13788446704436,-183.43164908635597
227,253.0,-172.5455850958122,-185.03248650965006
228,254.0,-169.95917401515004,-188.75878567125807
229,252.0,-165.32687530560796,-190.18681421613846
230,255.0,-163.91084047006757,-195.34133299533937
261,307.0,-48.02538076735093,-303.2203205627073
301,2513.0,1294.290682248966,-2154.0614266644084
304,128.0,71.57669164425552,-106.11680928704538
333,2822.0,2514.420411259574,-1281.1611902650016
334,294.0,264.24544961195517,-128.88111715598865
16,144.0,138.42168421511792,39.69177923764788
61,399.0,193.4390384782885,348.9732631486189
62,293.0,137.55516789626603,258.7036447076656
93,1993.0,-104.30556079218664,1990.2686627658657
94,1952.0,-136.16463674853264,1947.2450261071767
95,1934.0,-168.55920647397102,1926.640546109436
96,880.0,-91.98504767553493,875.1792679240806
168,242.0,-236.71171937758098,50.31462917789776
169,223.0,-218.90286190882907,42.55040596896953
170,217.0,-213.70328240364913,37.68165455372387
201,364.0,-339.82327524498146,-130.44593363448936
204,144.0,-131.55054590053456,-58.57007660291517
244,1480.0,-648.7892972478351,-1330.215188522767
34,317.0,262.8049104999482,177.26415040022678
35,407.0,333.39488202561967,233.44560959487575
36,367.0,296.9092369356057,215.71718759133765
37,374.0,298.68968075768754,225.07881865886606
38,122.0,96.13731194002008,75.11069998973029
47,173.0,117.98571629081223,126.5241903801165
48,128.0,85.64871761393385,95.12253766110645
69,445.0,159.47373754765866,415.44328979125476
70,488.0,166.90582994292637,458.5699989435233
144,128.0,-103.55417527999326,75.23651229343658
213,450.0,-377.4017555754408,-245.0875657567622
214,481.0,-398.7670723989751,-268.9717865694291
215,489.0,-400.5653496573171,-280.4788773756614
216,308.0,-249.1772342674838,-181.0378577060817
217,304.0,-242.78519505437708,-182.9517670382226
218,300.0,-236.40322608201666,-184.69844259769735
253,291.0,-85.0801660743165,-278.2846839852433
254,295.0,-81.31301996601466,-283.5722003018041
285,785.0,203.1729504054791,-758.2517736369185
286,1039.0,286.38721269386235,-998.7509020799132
287,1033.0,302.019970978587,-987.8628129098156
288,1130.0,349.18920364369035,-1074.6938634135236
289,1124.0,365.9386056098437,-1062.7628789736323
290,1115.0,381.35245980812,-1047.757272176288
321,2192.0,1703.5039475136796,-1379.4702971812446
322,2616.0,2061.4361314351836,-1610.5704194519235
323,2643.0,2110.793653054995,-1590.5971061908635
324,2657.0,2149.5581540542353,-1561.7454153411018
45,419.0,296.2777413171634,296.2777413171634
46,431.0,299.3977576678279,310.03545394595864
119,128.0,-62.055631391531136,111.95132251384267
189,194.0,-191.61153807545674,-30.348286217804763
190,202.0,-198.93116610846602,-35.076931888719955
191,216.0,-212.03147162469543,-41.21474300133366
192,230.0,-224.9739481687753,-47.819688888084585
193,243.0,-236.77192574281216,-54.66310620555919
194,266.0,-258.09866318941505,-64.35122422951156
297,1356.0,615.6111176468253,-1208.204846799427
298,1597.0,749.746085769067,-1410.0673057957065
299,1726.0,836.7814045451768,-1509.5936145225976
300,2511.0,1255.5000000000002,-2174.589788902725
301,2519.0,1297.3809106984263,-2159.204430468621
302,2514.0,1332.2170302822765,-2131.992913737255
337,73.0,67.19685430202811,-28.523372379717053
57,414.0,225.48056049622127,347.2096151294055
58,407.0,215.6771405429144,345.1555751356654
59,391.0,201.37988728983123,335.1524145745259
60,396.0,198.00000000000006,342.94605989863766
61,400.0,193.92384809853485,349.8478828557583
62,406.0,190.6054544910717,358.47672270072434
71,128.0,41.672723770516065,121.02637767671254
93,1986.0,-103.93920909848603,1983.2782560225837
96,128.0,-13.379643298259627,127.298802607139
168,238.0,-232.79912897464575,49.48298241462672
201,369.0,-344.49117737746747,-132.23777338221586
203,421.0,-387.5325433034774,-164.49780509398417
204,406.0,-370.89945580289606,-165.13507708877472
205,409.0,-370.6798848979899,-172.850869051946
208,268.0,-236.6299548861924,-125.81837882661875
273,356.0,18.631600422488045,-355.5121143726283
274,353.0,24.624035231676203,-352.140109741718
280,777.0,134.9246340472046,-765.1956240904857
345,611.0,590.1806798626208,-158.13843655764015
346,614.0,595.7615759334618,-148.54004389819607
347,693.0,675.2384548961679,-155.89108066029868
348,2503.0,2448.3034446367155,-520.4029621168529
349,2529.0,2482.535146939142,-482.5559493072815
350,2555.0,2516.183808946191,-443.6710939390094
33,406.0,340.50025058584214,221.123448216101
34,316.0,261.9758729273932,176.704957496756
35,406.0,332.57572998133065,232.8720331585247
36,111.0,89.80088637561917,65.24416300446453
105,1566.0,-405.31062463054764,1512.639843968681
106,1553.0,-428.06481358379955,1492.8394137922091
107,1537.0,-449.3753101588462,1469.8404099151855
177,140.0,-139.80813486564034,7.327033874012133
178,201.0,-200.87755623083825,7.01479883720264
179,198.0,-197.96984364096548,3.455576474582121
180,195.0,-195.0,2.388061258337339e-14
181,192.0,-191.97075747002714,-3.350862035958373
209,451.0,-394.45348791986754,-218.64913873109796
325,2686.0,2200.242390960231,-1540.6263080389108
326,2712.0,2248.349896769272,-1516.5311542126667
124,193.0,-107.92423036985411,160.00425150312304
160,127.0,-119.34096283981036,43.43655820235995
229,252.0,-165.32687530560796,-190.18681421613846
230,254.0,-163.26805286038103,-194.5752885522204
261,306.0,-47.8689463023107,-302.2326322221121
262,311.0,-43.2828343985802,-307.9733693786284
263,316.0,-38.51071251602651,-313.64458391865776
264,321.0,-33.55363670891673,-319.24152841321575
265,323.0,-28.151304907493614,-321.7708874836338
266,332.0,-23.159149283049693,-331.19126468626166
297,612.0,277.84218584060255,-545.2959928032813
298,1625.0,762.8912895270719,-1434.7898383957565
299,1731.0,839.2054526464085,-1513.9667130582945
300,2517.0,1258.5000000000002,-2179.785941325432
337,336.0,309.2896307600198,-131.2856591723963
57,284.0,154.67748594426772,238.1824412965004
58,406.0,215.1472212786812,344.307527039509
59,390.0,200.86484921492115,334.29524727382375
60,395.0,197.50000000000006,342.08003449485324
61,272.0,131.86821670700368,237.89656034191563
62,405.0,190.1359829282858,357.5937751078654
93,1977.0,-103.46818549229954,1974.2905902097925
94,164.0,-11.440061694036554,163.60050424261118
95,128.0,-11.155935071700254,127.51292135574343
96,128.0,-13.379643298259627,127.298802607139
201,368.0,-343.55759695097026,-131.87940543267055
204,467.0,-426.6257287190947,-189.9460123163985
238,336.0,-178.05287278235687,-284.9441603085591
239,338.0,-174.0828693195984,-289.7225476373139
241,320.0,-155.1390784788278,-279.87830628460665
242,273.0,-128.16573664054818,-241.04469285048708
273,357.0,18.683936378730987,-356.51074390738285
274,108.0,7.533699164365523,-107.73691742806102
277,698.0,85.06480169679308,-692.7972138456428
309,2513.0,1581.4821427082416,-1952.9678011413675
311,58.0,38.05142368144941,-43.77315565292079
349,2528.0,2481.5535197556947,-482.3651403119049
33,407.0,341.33892115378757,221.66808725111602
34,414.0,343.22155503778725,231.50586203688923
35,404.0,330.9374258927527,231.7248802858226
36,367.0,296.9092369356057,215.71718759133765
37,374.0,298.68968075768754,225.07881865886606
38,376.0,296.29204335612746,231.48871472244747
69,445.0,159.47373754765866,415.44328979125476
105,1564.0,-404.7929865403426,1510.707992316103
106,1551.0,-427.51353887216555,1490.9168904003327
107,1538.0,-449.667681863569,1470.7967146711487
213,452.0,-379.07909671133166,-246.17684382679224
214,483.0,-400.4251475440852,-270.0901723763707
215,486.0,-398.1078935244501,-278.75814806660827
216,308.0,-249.1772342674838,-181.0378577060817
217,301.0,-240.3892885242352,-181.14632196876647
218,302.0,-237.9792475892301,-185.92976554834868
292,192.0,71.9244659358551,-178.01930007682319
321,2197.0,1707.3896773209644,-1382.6168991364937
322,2626.0,2069.3162389712506,-1616.7270342051802
323,2641.0,2109.1963820349006,-1589.3934761445594
324,2667.0,2157.6483239979843,-1567.6232678640265
325,2810.0,2301.8172444520665,-1611.7497861464406
326,2711.0,2247.520859196717,-1515.971961309196
359,253.0,252.96146687456698,-4.415458828632965
360,257.0,257.0,-6.294684547617395e-14
49,144.0,94.47250017463304,108.67817955207917
51,1292.0,813.0819452363901,1004.0725822024062
52,2579.0,1587.7909448648727,2032.2797335517362
124,194.0,-108.48342327332486,160.8332890756781
156,128.0,-116.9338185782529,52.062290313702455
193,250.0,-243.59251619630882,-56.23776358596624
195,128.0,-123.63850576500076,-33.128837773122605
196,128.0,-123.04149708010482,-35.28158154457587
225,258.0,-182.4335495461293,-182.43354954612926
226,254.0,-176.44322609658536,-182.71230928601733
227,253.0,-172.5455850958122,-185.03248650965006
228,252.0,-168.62091280243234,-187.2724960203033
229,252.0,-165.32687530560796,-190.18681421613846
230,254.0,-163.26805286038103,-194.5752885522204
261,307.0,-48.02538076735093,-303.2203205627073
262,312.0,-43.422007499540264,-308.96363744736993
302,62.0,32.85499438245869,-52.57898196169842
333,2823.0,2515.3114177837624,-1281.6151807647411
334,338.0,303.7923876491185,-148.16944761470802
335,512.0,464.02958696276465,-216.3805500112384
57,411.0,223.84664339117617,344.6936034255692
58,406.0,215.1472212786812,344.307527039509
59,392.0,201.89492536474128,336.009581875228
60,396.0,198.00000000000006,342.94605989863766
61,400.0,193.92384809853485,349.8478828557583
62,293.0,137.55516789626603,258.7036447076656
66,128.0,52.06229031370243,116.93381857825291
67,128.0,50.013584446627064,117.82462124191235
68,2704.0,1012.9362285966259,2507.105142748593
168,237.0,-231.82098137391193,49.27507072380896
169,223.0,-218.90286190882907,42.55040596896953
170,217.0,-213.70328240364913,37.68165455372387
201,369.0,-344.49117737746747,-132.23777338221586
203,420.0,-386.61203845002495,-164.1070739654949
309,2522.0,1587.14602622769,-1959.9621147944804
310,2517.0,1617.8964135810193,-1928.1338633304679
311,2528.0,1658.5172252880018,-1907.9058188031681
312,2532.0,1694.238695300628,-1881.6426981087632
313,2309.0,1574.7342133843076,-1688.695697038666
314,2198.0,1526.8590982688745,-1581.1088811443565
324,242.0,195.78211263873726,-142.24403105477856
33,149.0,124.96191462386818,81.15121621723904
34,61.0,50.571291925857544,34.11076711171556
35,405.0,331.7565779370417,232.29845672217365
36,112.0,90.60990336999411,65.83194825675699
69,448.0,160.54884139629456,418.24403107074636
70,487.0,166.5638097996007,457.63030632273734
73,2414.0,705.7852952006865,2308.5196808947676
74,2448.0,674.760247040014,2353.168631657005
177,140.0,-139.80813486564034,7.327033874012133
178,201.0,-200.87755623083825,7.01479883720264
179,198.0,-197.96984364096548,3.455576474582121
180,195.0,-195.0,2.388061258337339e-14
181,192.0,-191.97075747002714,-3.350862035958373
182,190.0,-189.88425713362818,-6.630904373475171
213,387.0,-324.5655097948791,-210.7753065508155
216,128.0,-103.55417527999327,-75.23651229343655
254,225.0,-62.01840505882475,-216.28388158612177
285,914.0,236.56060722370432,-882.8562052282083
286,1037.0,285.83593798222836,-996.8283786880365
287,1031.0,301.43522756914155,-985.9502033978895
288,108.0,33.3738353924943,-102.7141037598766
326,128.0,106.1168092870453,-71.57669164425566
328,103.0,87.34895390411182,-54.58168421602019
4,1026.0,1023.5007155665796,71.57014206147257
